NPI,State,Login Time,Logout Time,Usage Time (mins),Region,Speciality,Count of Survey Attempts
1000000029,FL,2025-03-08 06:05:00,2025-03-08 07:54:00,109,South,Cardiology,7
1000000030,NY,2025-03-08 13:58:00,2025-03-08 14:26:00,28,Midwest,Cardiology,2
1000000031,NC,2025-03-08 20:10:00,2025-03-08 22:02:00,112,South,Oncology,10
1000000032,OH,2025-03-08 13:21:00,2025-03-08 14:55:00,94,South,Oncology,3
1000000033,MI,2025-03-08 09:52:00,2025-03-08 11:05:00,73,Midwest,Neurology,3
1000000034,CA,2025-03-08 14:39:00,2025-03-08 15:34:00,55,Northeast,Pediatrics,7
1000000035,GA,2025-03-08 18:43:00,2025-03-08 20:41:00,118,Northeast,Orthopedics,5
1000000036,MI,2025-03-08 19:35:00,2025-03-08 21:08:00,93,West,Cardiology,1
1000000037,MI,2025-03-08 13:41:00,2025-03-08 15:26:00,105,Midwest,Neurology,9
1000000038,IL,2025-03-08 16:39:00,2025-03-08 18:12:00,93,West,Pediatrics,2
1000000039,PA,2025-03-08 08:41:00,2025-03-08 09:43:00,62,South,Orthopedics,7
1000000040,NC,2025-03-08 14:42:00,2025-03-08 14:54:00,12,South,Radiology,10
1000000041,PA,2025-03-08 15:14:00,2025-03-08 16:02:00,48,Northeast,Radiology,6
1000000042,CA,2025-03-08 06:32:00,2025-03-08 06:43:00,11,West,Oncology,6
1000000043,PA,2025-03-08 10:14:00,2025-03-08 10:54:00,40,West,General Practice,1
1000000044,IL,2025-03-08 10:02:00,2025-03-08 10:50:00,48,South,Pediatrics,9
1000000045,GA,2025-03-08 10:18:00,2025-03-08 10:41:00,23,South,General Practice,1
1000000046,NY,2025-03-08 08:34:00,2025-03-08 09:01:00,27,Northeast,Pediatrics,0
1000000047,OH,2025-03-08 09:05:00,2025-03-08 10:06:00,61,Northeast,Radiology,6
1000000048,IL,2025-03-08 20:00:00,2025-03-08 20:37:00,37,South,Radiology,9
1000000049,PA,2025-03-08 17:43:00,2025-03-08 19:18:00,95,West,Radiology,9
1000000050,TX,2025-03-08 07:46:00,2025-03-08 08:17:00,31,South,Cardiology,8
1000000051,NY,2025-03-08 19:59:00,2025-03-08 21:33:00,94,West,Oncology,5
1000000052,TX,2025-03-08 09:48:00,2025-03-08 10:22:00,34,Northeast,Pediatrics,4
1000000053,TX,2025-03-08 20:34:00,2025-03-08 22:13:00,99,West,Cardiology,0
1000000054,GA,2025-03-08 19:36:00,2025-03-08 21:28:00,112,Northeast,Cardiology,0
1000000055,FL,2025-03-08 12:54:00,2025-03-08 14:38:00,104,Midwest,Oncology,3
1000000056,TX,2025-03-08 10:51:00,2025-03-08 12:26:00,95,Midwest,Pediatrics,6
1000000057,PA,2025-03-08 09:45:00,2025-03-08 11:07:00,82,Midwest,Pediatrics,5
1000000058,FL,2025-03-08 19:36:00,2025-03-08 20:03:00,27,Midwest,Radiology,3
1000000059,NC,2025-03-08 09:34:00,2025-03-08 10:51:00,77,Northeast,Pediatrics,6
1000000060,OH,2025-03-08 17:51:00,2025-03-08 19:32:00,101,South,Orthopedics,6
1000000061,CA,2025-03-08 19:42:00,2025-03-08 21:26:00,104,Midwest,General Practice,6
1000000062,NC,2025-03-08 07:46:00,2025-03-08 09:46:00,120,South,Neurology,6
1000000063,PA,2025-03-08 12:27:00,2025-03-08 13:12:00,45,Midwest,Neurology,7
1000000064,MI,2025-03-08 17:05:00,2025-03-08 17:30:00,25,West,Radiology,0
1000000065,FL,2025-03-08 12:10:00,2025-03-08 12:55:00,45,Northeast,Oncology,1
1000000066,CA,2025-03-08 20:44:00,2025-03-08 22:33:00,109,Midwest,General Practice,8
1000000067,MI,2025-03-08 09:03:00,2025-03-08 09:28:00,25,Northeast,Orthopedics,8
1000000068,OH,2025-03-08 12:02:00,2025-03-08 12:43:00,41,Midwest,Oncology,0
1000000069,MI,2025-03-08 19:07:00,2025-03-08 19:15:00,8,South,Pediatrics,7
1000000070,PA,2025-03-08 13:29:00,2025-03-08 15:28:00,119,Midwest,Orthopedics,8
1000000071,TX,2025-03-08 08:24:00,2025-03-08 09:06:00,42,South,Cardiology,3
1000000072,GA,2025-03-08 20:21:00,2025-03-08 20:31:00,10,Northeast,Orthopedics,7
1000000073,NY,2025-03-08 06:49:00,2025-03-08 07:49:00,60,Midwest,Orthopedics,1
1000000074,MI,2025-03-08 06:20:00,2025-03-08 07:22:00,62,Midwest,Oncology,7
1000000075,NC,2025-03-08 06:27:00,2025-03-08 06:45:00,18,Northeast,Neurology,9
1000000076,GA,2025-03-08 10:08:00,2025-03-08 10:49:00,41,Northeast,Neurology,10
1000000077,IL,2025-03-08 14:20:00,2025-03-08 16:12:00,112,Midwest,Neurology,8
1000000078,NY,2025-03-08 18:21:00,2025-03-08 18:57:00,36,Northeast,Oncology,5
1000000079,OH,2025-03-08 14:01:00,2025-03-08 14:08:00,7,Northeast,Cardiology,1
1000000080,OH,2025-03-08 19:09:00,2025-03-08 19:55:00,46,South,Orthopedics,5
1000000081,GA,2025-03-08 09:01:00,2025-03-08 10:38:00,97,Northeast,Pediatrics,6
1000000082,NC,2025-03-08 17:44:00,2025-03-08 17:53:00,9,South,Neurology,8
1000000083,NC,2025-03-08 15:04:00,2025-03-08 15:22:00,18,Northeast,General Practice,8
1000000084,FL,2025-03-08 12:07:00,2025-03-08 13:12:00,65,South,Orthopedics,6
1000000085,FL,2025-03-08 14:04:00,2025-03-08 15:58:00,114,West,Cardiology,9
1000000086,PA,2025-03-08 13:26:00,2025-03-08 14:50:00,84,West,General Practice,5
1000000087,MI,2025-03-08 07:05:00,2025-03-08 08:17:00,72,Midwest,Neurology,6
1000000088,NC,2025-03-08 16:07:00,2025-03-08 16:16:00,9,South,Oncology,4
1000000089,IL,2025-03-08 16:21:00,2025-03-08 17:47:00,86,South,Orthopedics,9
1000000090,IL,2025-03-08 06:53:00,2025-03-08 08:25:00,92,South,Orthopedics,6
1000000091,FL,2025-03-08 15:28:00,2025-03-08 16:09:00,41,Midwest,Neurology,1
1000000092,OH,2025-03-08 14:05:00,2025-03-08 15:51:00,106,Midwest,Pediatrics,4
1000000093,GA,2025-03-08 06:08:00,2025-03-08 06:25:00,17,West,Radiology,3
1000000094,IL,2025-03-08 09:31:00,2025-03-08 10:06:00,35,South,Radiology,9
1000000095,FL,2025-03-08 20:12:00,2025-03-08 20:20:00,8,West,Orthopedics,9
1000000096,OH,2025-03-08 18:55:00,2025-03-08 20:04:00,69,West,Neurology,9
1000000097,GA,2025-03-08 19:28:00,2025-03-08 20:48:00,80,West,Neurology,0
1000000098,FL,2025-03-08 13:18:00,2025-03-08 14:07:00,49,West,Oncology,1
1000000099,IL,2025-03-08 07:43:00,2025-03-08 08:04:00,21,Midwest,Cardiology,1
1000000100,MI,2025-03-08 18:07:00,2025-03-08 19:59:00,112,South,Oncology,0
1000000101,GA,2025-03-08 09:03:00,2025-03-08 09:50:00,47,West,General Practice,7
1000000102,MI,2025-03-08 15:03:00,2025-03-08 16:57:00,114,Midwest,Orthopedics,4
1000000103,NY,2025-03-08 10:57:00,2025-03-08 12:41:00,104,Midwest,General Practice,2
1000000104,TX,2025-03-08 15:42:00,2025-03-08 16:38:00,56,West,Cardiology,9
1000000105,IL,2025-03-08 12:45:00,2025-03-08 13:12:00,27,West,Orthopedics,10
1000000106,IL,2025-03-08 09:52:00,2025-03-08 10:52:00,60,West,Oncology,9
1000000107,PA,2025-03-08 11:43:00,2025-03-08 13:39:00,116,South,Orthopedics,9
1000000108,IL,2025-03-08 15:11:00,2025-03-08 15:27:00,16,West,Radiology,7
1000000109,TX,2025-03-08 13:44:00,2025-03-08 15:27:00,103,Midwest,Pediatrics,8
1000000110,FL,2025-03-08 16:00:00,2025-03-08 17:47:00,107,Northeast,Radiology,6
1000000111,OH,2025-03-08 07:19:00,2025-03-08 07:34:00,15,Midwest,Radiology,0
1000000112,NY,2025-03-08 07:57:00,2025-03-08 08:29:00,32,West,Oncology,2
1000000113,IL,2025-03-08 19:03:00,2025-03-08 19:46:00,43,Midwest,Oncology,8
1000000114,MI,2025-03-08 19:00:00,2025-03-08 19:52:00,52,Midwest,Pediatrics,0
1000000115,PA,2025-03-08 06:57:00,2025-03-08 08:41:00,104,South,Neurology,6
1000000116,TX,2025-03-08 12:48:00,2025-03-08 13:35:00,47,Midwest,General Practice,6
1000000117,TX,2025-03-08 20:42:00,2025-03-08 22:16:00,94,Midwest,Radiology,5
1000000118,PA,2025-03-08 09:14:00,2025-03-08 09:45:00,31,Northeast,General Practice,8
1000000119,CA,2025-03-08 09:43:00,2025-03-08 11:13:00,90,Northeast,Oncology,8
1000000120,MI,2025-03-08 10:41:00,2025-03-08 12:28:00,107,South,Orthopedics,8
1000000121,IL,2025-03-08 17:36:00,2025-03-08 19:03:00,87,South,Neurology,1
1000000122,GA,2025-03-08 12:14:00,2025-03-08 13:54:00,100,Midwest,Oncology,1
1000000123,CA,2025-03-08 06:15:00,2025-03-08 06:52:00,37,Northeast,Cardiology,9
1000000124,FL,2025-03-08 09:43:00,2025-03-08 09:55:00,12,West,Radiology,8
1000000125,TX,2025-03-08 09:25:00,2025-03-08 11:10:00,105,South,Orthopedics,10
1000000126,IL,2025-03-08 18:28:00,2025-03-08 19:28:00,60,Midwest,Neurology,8
1000000127,MI,2025-03-08 18:18:00,2025-03-08 19:34:00,76,Northeast,Radiology,9
1000000128,OH,2025-03-08 07:29:00,2025-03-08 08:56:00,87,Midwest,Orthopedics,2
1000000129,TX,2025-03-08 18:58:00,2025-03-08 19:13:00,15,South,Neurology,9
1000000130,MI,2025-03-08 10:00:00,2025-03-08 10:19:00,19,South,Cardiology,10
1000000131,CA,2025-03-08 09:00:00,2025-03-08 10:47:00,107,South,Pediatrics,6
1000000132,TX,2025-03-08 20:53:00,2025-03-08 22:46:00,113,Midwest,Orthopedics,6
1000000133,CA,2025-03-08 07:46:00,2025-03-08 08:16:00,30,West,Radiology,6
1000000134,NC,2025-03-08 07:23:00,2025-03-08 08:59:00,96,South,Radiology,9
1000000135,MI,2025-03-08 08:51:00,2025-03-08 09:27:00,36,Northeast,Orthopedics,5
1000000136,CA,2025-03-08 17:30:00,2025-03-08 17:57:00,27,West,Pediatrics,10
1000000137,CA,2025-03-08 08:16:00,2025-03-08 09:26:00,70,South,Oncology,7
1000000138,TX,2025-03-08 07:15:00,2025-03-08 08:11:00,56,Midwest,Radiology,0
1000000139,FL,2025-03-08 08:46:00,2025-03-08 10:34:00,108,South,Oncology,2
1000000140,FL,2025-03-08 19:20:00,2025-03-08 20:14:00,54,Midwest,Neurology,8
1000000141,MI,2025-03-08 14:50:00,2025-03-08 14:59:00,9,South,General Practice,6
1000000142,PA,2025-03-08 07:15:00,2025-03-08 08:20:00,65,Northeast,Oncology,4
1000000143,NY,2025-03-08 13:18:00,2025-03-08 15:11:00,113,South,Pediatrics,9
1000000144,OH,2025-03-08 07:28:00,2025-03-08 07:44:00,16,Northeast,Orthopedics,1
1000000145,IL,2025-03-08 20:51:00,2025-03-08 22:20:00,89,Midwest,Orthopedics,8
1000000146,NY,2025-03-08 08:58:00,2025-03-08 10:16:00,78,Northeast,General Practice,9
1000000147,CA,2025-03-08 11:04:00,2025-03-08 12:18:00,74,West,Radiology,3
1000000148,NY,2025-03-08 20:50:00,2025-03-08 21:42:00,52,South,Neurology,10
1000000149,OH,2025-03-08 17:00:00,2025-03-08 18:17:00,77,Northeast,Orthopedics,4
1000000150,CA,2025-03-08 18:22:00,2025-03-08 20:06:00,104,Midwest,Oncology,8
1000000151,MI,2025-03-08 07:09:00,2025-03-08 07:43:00,34,Northeast,General Practice,5
1000000152,MI,2025-03-08 11:56:00,2025-03-08 12:58:00,62,Northeast,Orthopedics,6
1000000153,CA,2025-03-08 18:08:00,2025-03-08 18:39:00,31,West,General Practice,1
1000000154,IL,2025-03-08 08:59:00,2025-03-08 10:38:00,99,South,Pediatrics,1
1000000155,GA,2025-03-08 14:24:00,2025-03-08 15:42:00,78,West,Radiology,1
1000000156,IL,2025-03-08 10:53:00,2025-03-08 10:58:00,5,South,Pediatrics,10
1000000157,OH,2025-03-08 09:53:00,2025-03-08 11:07:00,74,West,Pediatrics,5
1000000158,MI,2025-03-08 10:19:00,2025-03-08 10:49:00,30,South,Pediatrics,0
1000000159,IL,2025-03-08 12:54:00,2025-03-08 14:25:00,91,West,Pediatrics,2
1000000160,MI,2025-03-08 17:03:00,2025-03-08 18:27:00,84,South,Cardiology,2
1000000161,GA,2025-03-08 07:23:00,2025-03-08 07:30:00,7,Midwest,Pediatrics,5
1000000162,GA,2025-03-08 13:40:00,2025-03-08 15:12:00,92,West,Radiology,9
1000000163,NC,2025-03-08 16:55:00,2025-03-08 17:28:00,33,Midwest,Cardiology,8
1000000164,PA,2025-03-08 17:23:00,2025-03-08 17:29:00,6,Northeast,Cardiology,6
1000000165,GA,2025-03-08 20:35:00,2025-03-08 22:29:00,114,West,Orthopedics,0
1000000166,MI,2025-03-08 09:22:00,2025-03-08 10:54:00,92,Midwest,Cardiology,4
1000000167,FL,2025-03-08 13:04:00,2025-03-08 14:57:00,113,West,Radiology,3
1000000168,GA,2025-03-08 15:59:00,2025-03-08 17:55:00,116,Northeast,Pediatrics,6
1000000169,CA,2025-03-08 18:51:00,2025-03-08 19:51:00,60,West,Cardiology,0
1000000170,TX,2025-03-08 06:10:00,2025-03-08 06:56:00,46,Northeast,Neurology,7
1000000171,PA,2025-03-08 06:03:00,2025-03-08 06:50:00,47,West,Neurology,0
1000000172,NY,2025-03-08 09:34:00,2025-03-08 10:04:00,30,Midwest,Pediatrics,8
1000000173,NY,2025-03-08 15:35:00,2025-03-08 15:45:00,10,Midwest,Cardiology,9
1000000174,TX,2025-03-08 17:31:00,2025-03-08 19:27:00,116,Midwest,Neurology,1
1000000175,OH,2025-03-08 08:57:00,2025-03-08 09:42:00,45,South,Pediatrics,1
1000000176,IL,2025-03-08 15:43:00,2025-03-08 16:06:00,23,Northeast,Oncology,6
1000000177,FL,2025-03-08 06:53:00,2025-03-08 07:58:00,65,West,General Practice,5
1000000178,MI,2025-03-08 06:41:00,2025-03-08 08:31:00,110,South,Pediatrics,5
1000000179,OH,2025-03-08 12:24:00,2025-03-08 13:14:00,50,Northeast,General Practice,3
1000000180,TX,2025-03-08 08:24:00,2025-03-08 09:34:00,70,Northeast,Cardiology,9
1000000181,CA,2025-03-08 07:40:00,2025-03-08 09:23:00,103,Northeast,Radiology,1
1000000182,CA,2025-03-08 08:22:00,2025-03-08 08:47:00,25,South,Cardiology,7
1000000183,GA,2025-03-08 13:08:00,2025-03-08 14:45:00,97,West,Pediatrics,6
1000000184,IL,2025-03-08 12:00:00,2025-03-08 13:20:00,80,Northeast,Orthopedics,9
1000000185,GA,2025-03-08 12:35:00,2025-03-08 12:59:00,24,Midwest,Pediatrics,2
1000000186,CA,2025-03-08 09:44:00,2025-03-08 11:27:00,103,Midwest,Oncology,8
1000000187,IL,2025-03-08 12:31:00,2025-03-08 14:25:00,114,Midwest,Oncology,8
1000000188,MI,2025-03-08 08:48:00,2025-03-08 10:01:00,73,Midwest,Oncology,5
1000000189,OH,2025-03-08 12:28:00,2025-03-08 14:10:00,102,Northeast,General Practice,6
1000000190,PA,2025-03-08 18:52:00,2025-03-08 20:35:00,103,West,General Practice,0
1000000191,PA,2025-03-08 18:44:00,2025-03-08 20:42:00,118,West,General Practice,9
1000000192,NY,2025-03-08 13:08:00,2025-03-08 13:49:00,41,Northeast,Orthopedics,10
1000000193,FL,2025-03-08 13:06:00,2025-03-08 14:32:00,86,Midwest,Orthopedics,6
1000000194,IL,2025-03-08 08:52:00,2025-03-08 10:42:00,110,West,Pediatrics,7
1000000195,OH,2025-03-08 08:43:00,2025-03-08 10:01:00,78,South,Pediatrics,3
1000000196,NY,2025-03-08 17:26:00,2025-03-08 18:40:00,74,South,General Practice,1
1000000197,GA,2025-03-08 09:46:00,2025-03-08 11:09:00,83,Northeast,General Practice,7
1000000198,FL,2025-03-08 20:39:00,2025-03-08 21:53:00,74,Midwest,Pediatrics,1
1000000199,PA,2025-03-08 15:48:00,2025-03-08 16:47:00,59,West,Cardiology,0
1000000200,IL,2025-03-08 06:47:00,2025-03-08 07:38:00,51,West,Oncology,1
1000000201,FL,2025-03-08 15:34:00,2025-03-08 16:18:00,44,South,Neurology,3
1000000202,CA,2025-03-08 17:56:00,2025-03-08 19:53:00,117,Northeast,Oncology,8
1000000203,MI,2025-03-08 11:08:00,2025-03-08 12:28:00,80,Northeast,Pediatrics,5
1000000204,TX,2025-03-08 13:42:00,2025-03-08 13:49:00,7,Northeast,General Practice,10
1000000205,MI,2025-03-08 14:54:00,2025-03-08 16:28:00,94,South,Cardiology,1
1000000206,NY,2025-03-08 18:16:00,2025-03-08 19:11:00,55,Northeast,Orthopedics,6
1000000207,OH,2025-03-08 14:56:00,2025-03-08 15:18:00,22,South,Orthopedics,8
1000000208,IL,2025-03-08 15:33:00,2025-03-08 17:19:00,106,Northeast,General Practice,10
1000000209,OH,2025-03-08 07:02:00,2025-03-08 07:21:00,19,South,Neurology,10
1000000210,PA,2025-03-08 11:34:00,2025-03-08 13:07:00,93,West,Orthopedics,3
1000000211,MI,2025-03-08 11:12:00,2025-03-08 13:06:00,114,South,Oncology,0
1000000212,PA,2025-03-08 17:56:00,2025-03-08 19:37:00,101,South,General Practice,6
1000000213,NC,2025-03-08 17:03:00,2025-03-08 18:54:00,111,Northeast,Radiology,0
1000000214,CA,2025-03-08 08:03:00,2025-03-08 09:36:00,93,Midwest,Cardiology,3
1000000215,FL,2025-03-08 16:56:00,2025-03-08 17:39:00,43,Northeast,Cardiology,7
1000000216,OH,2025-03-08 06:28:00,2025-03-08 07:42:00,74,South,Neurology,6
1000000217,NC,2025-03-08 20:34:00,2025-03-08 21:13:00,39,South,Pediatrics,3
1000000218,GA,2025-03-08 12:49:00,2025-03-08 13:15:00,26,West,Neurology,6
1000000219,CA,2025-03-08 19:19:00,2025-03-08 20:14:00,55,Midwest,Cardiology,7
1000000220,CA,2025-03-08 12:56:00,2025-03-08 13:58:00,62,West,Orthopedics,4
1000000221,MI,2025-03-08 16:26:00,2025-03-08 17:23:00,57,West,General Practice,10
1000000222,CA,2025-03-08 16:56:00,2025-03-08 17:56:00,60,Midwest,Cardiology,8
1000000223,CA,2025-03-08 08:49:00,2025-03-08 09:46:00,57,West,Orthopedics,4
1000000224,CA,2025-03-08 07:19:00,2025-03-08 09:02:00,103,West,Pediatrics,0
1000000225,TX,2025-03-08 12:53:00,2025-03-08 14:27:00,94,Northeast,Pediatrics,7
1000000226,TX,2025-03-08 15:49:00,2025-03-08 17:22:00,93,Midwest,Neurology,8
1000000227,IL,2025-03-08 09:06:00,2025-03-08 11:01:00,115,West,Orthopedics,4
1000000228,NY,2025-03-08 10:59:00,2025-03-08 11:47:00,48,Northeast,Pediatrics,6
1000000229,CA,2025-03-08 06:23:00,2025-03-08 07:33:00,70,Midwest,Pediatrics,3
1000000230,TX,2025-03-08 06:45:00,2025-03-08 08:18:00,93,South,Cardiology,9
1000000231,PA,2025-03-08 14:37:00,2025-03-08 16:09:00,92,Midwest,Radiology,3
1000000232,NC,2025-03-08 09:51:00,2025-03-08 09:58:00,7,Midwest,Cardiology,0
1000000233,OH,2025-03-08 10:54:00,2025-03-08 11:42:00,48,South,General Practice,0
1000000234,NY,2025-03-08 09:02:00,2025-03-08 09:19:00,17,Midwest,Pediatrics,10
1000000235,FL,2025-03-08 20:40:00,2025-03-08 20:59:00,19,West,Cardiology,4
1000000236,MI,2025-03-08 18:11:00,2025-03-08 18:51:00,40,Midwest,Neurology,9
1000000237,NY,2025-03-08 15:38:00,2025-03-08 17:36:00,118,West,Orthopedics,9
1000000238,PA,2025-03-08 08:00:00,2025-03-08 09:21:00,81,West,Cardiology,7
1000000239,CA,2025-03-08 10:33:00,2025-03-08 11:09:00,36,Midwest,Cardiology,4
1000000240,NY,2025-03-08 19:27:00,2025-03-08 19:57:00,30,Northeast,Cardiology,7
1000000241,NC,2025-03-08 16:31:00,2025-03-08 17:54:00,83,Northeast,General Practice,0
1000000242,CA,2025-03-08 20:18:00,2025-03-08 20:55:00,37,Midwest,Orthopedics,3
1000000243,MI,2025-03-08 07:35:00,2025-03-08 09:05:00,90,West,Cardiology,0
1000000244,CA,2025-03-08 12:16:00,2025-03-08 13:31:00,75,Northeast,Cardiology,6
1000000245,FL,2025-03-08 15:53:00,2025-03-08 16:28:00,35,Midwest,Neurology,2
1000000246,FL,2025-03-08 17:22:00,2025-03-08 17:31:00,9,Midwest,Oncology,3
1000000247,IL,2025-03-08 12:28:00,2025-03-08 13:41:00,73,Midwest,Oncology,0
1000000248,FL,2025-03-08 17:39:00,2025-03-08 18:50:00,71,West,Cardiology,6
1000000249,PA,2025-03-08 14:49:00,2025-03-08 16:01:00,72,South,Pediatrics,8
1000000250,IL,2025-03-08 07:05:00,2025-03-08 07:26:00,21,South,General Practice,9
1000000251,NC,2025-03-08 20:09:00,2025-03-08 21:52:00,103,South,Neurology,4
1000000252,NY,2025-03-08 19:52:00,2025-03-08 20:39:00,47,South,Orthopedics,6
1000000253,TX,2025-03-08 14:39:00,2025-03-08 16:04:00,85,Midwest,General Practice,3
1000000254,OH,2025-03-08 10:25:00,2025-03-08 11:31:00,66,Midwest,Neurology,4
1000000255,CA,2025-03-08 14:59:00,2025-03-08 16:01:00,62,Midwest,Oncology,5
1000000256,OH,2025-03-08 17:12:00,2025-03-08 18:57:00,105,West,Cardiology,2
1000000257,MI,2025-03-08 15:20:00,2025-03-08 15:26:00,6,Northeast,Cardiology,9
1000000258,CA,2025-03-08 08:31:00,2025-03-08 09:27:00,56,Northeast,Orthopedics,6
1000000259,CA,2025-03-08 08:25:00,2025-03-08 10:07:00,102,South,Neurology,3
1000000260,NY,2025-03-08 15:21:00,2025-03-08 16:05:00,44,Northeast,Oncology,4
1000000261,TX,2025-03-08 12:16:00,2025-03-08 13:25:00,69,Northeast,General Practice,5
1000000262,OH,2025-03-08 07:58:00,2025-03-08 08:27:00,29,South,General Practice,6
1000000263,FL,2025-03-08 17:52:00,2025-03-08 18:00:00,8,West,Oncology,7
1000000264,FL,2025-03-08 14:38:00,2025-03-08 16:37:00,119,South,Radiology,3
1000000265,MI,2025-03-08 17:22:00,2025-03-08 18:47:00,85,West,Neurology,6
1000000266,GA,2025-03-08 11:46:00,2025-03-08 13:24:00,98,West,Pediatrics,7
1000000267,IL,2025-03-08 07:39:00,2025-03-08 08:37:00,58,Midwest,Oncology,7
1000000268,PA,2025-03-08 11:49:00,2025-03-08 13:21:00,92,South,Pediatrics,4
1000000269,NY,2025-03-08 12:54:00,2025-03-08 13:02:00,8,Midwest,Orthopedics,3
1000000270,OH,2025-03-08 08:32:00,2025-03-08 10:01:00,89,Midwest,General Practice,2
1000000271,PA,2025-03-08 16:42:00,2025-03-08 17:51:00,69,West,Neurology,3
1000000272,CA,2025-03-08 13:35:00,2025-03-08 15:12:00,97,Midwest,Pediatrics,9
1000000273,GA,2025-03-08 09:18:00,2025-03-08 10:01:00,43,South,Orthopedics,7
1000000274,FL,2025-03-08 16:12:00,2025-03-08 17:17:00,65,Midwest,Radiology,7
1000000275,OH,2025-03-08 06:27:00,2025-03-08 07:43:00,76,Northeast,Pediatrics,10
1000000276,OH,2025-03-08 09:06:00,2025-03-08 10:38:00,92,Midwest,Radiology,4
1000000277,CA,2025-03-08 11:31:00,2025-03-08 13:17:00,106,West,Oncology,6
1000000278,TX,2025-03-08 18:35:00,2025-03-08 19:36:00,61,West,Neurology,1
1000000279,NY,2025-03-08 13:34:00,2025-03-08 13:40:00,6,South,Pediatrics,4
1000000280,PA,2025-03-08 12:50:00,2025-03-08 13:41:00,51,West,Oncology,5
1000000281,IL,2025-03-08 20:18:00,2025-03-08 21:00:00,42,South,Orthopedics,7
1000000282,TX,2025-03-08 06:20:00,2025-03-08 07:32:00,72,Midwest,Cardiology,2
1000000283,FL,2025-03-08 09:02:00,2025-03-08 09:53:00,51,Midwest,Orthopedics,8
1000000284,NC,2025-03-08 07:08:00,2025-03-08 07:57:00,49,West,General Practice,8
1000000285,CA,2025-03-08 20:08:00,2025-03-08 20:48:00,40,South,Orthopedics,7
1000000286,TX,2025-03-08 06:33:00,2025-03-08 08:29:00,116,Midwest,General Practice,9
1000000287,CA,2025-03-08 18:23:00,2025-03-08 18:43:00,20,West,Radiology,9
1000000288,NC,2025-03-08 11:54:00,2025-03-08 13:38:00,104,South,Oncology,10
1000000289,PA,2025-03-08 13:37:00,2025-03-08 14:00:00,23,South,Neurology,6
1000000290,IL,2025-03-08 11:42:00,2025-03-08 12:40:00,58,Northeast,Oncology,9
1000000291,MI,2025-03-08 12:28:00,2025-03-08 14:19:00,111,Northeast,Oncology,5
1000000292,FL,2025-03-08 19:21:00,2025-03-08 19:30:00,9,Midwest,Pediatrics,5
1000000293,FL,2025-03-08 16:12:00,2025-03-08 17:45:00,93,Midwest,Neurology,0
